title,text,subject,date,label
 donald trump sends out embarrassing new years eve message this is disturbing,donald trump just couldn t wish all americans a happy new year and leave it at that instead he had to give a shout out to his enemies haters and  the very dishonest fake news media  the former reality show star had just one job to do and he couldn t do it as our country rapidly grows stronger and smarter i want to wish all of my friends supporters enemies haters and even the very dishonest fake news media a happy and healthy new year  president angry pants tweeted   will be a great year for america as our country rapidly grows stronger and smarter i want to wish all of my friends supporters enemies haters and even the very dishonest fake news media a happy and healthy new year  will be a great year for america  donald j trump realdonaldtrump december  trump s tweet went down about as welll as you d expectwhat kind of president sends a new year s greeting like this despicable petty infantile gibberish only trump his lack of decency won t even allow him to rise above the gutter long enough to wish the american citizens a happy new year  bishop talbert swan talbertswan december  no one likes you  calvin calvinstowell december  your impeachment would make  a great year for america but i ll also accept regaining control of congress  miranda yaver mirandayaver december  do you hear yourself talk when you have to include that many people that hate you you have to wonder why do the they all hate me  alan sandoval alansandoval december  who uses the word haters in a new years wish  marlene marlene december  you can t just say happy new year  koren pollitt korencarpenter december  here s trump s new year s eve tweet from happy new year to all including to my many enemies and those who have fought me and lost so badly they just don t know what to do love  donald j trump realdonaldtrump december  this is nothing new for trump he s been doing this for yearstrump has directed messages to his  enemies  and  haters  for new year s easter thanksgiving and the anniversary of  pictwittercomfpaekypa  daniel dale ddale december  trump s holiday tweets are clearly not presidentialhow long did he work at hallmark before becoming president  steven goodine sgoodine december  he s always been like this    the only difference is that in the last few years his filter has been breaking down  roy schulze thbthttt december  who apart from a teenager uses the term haters  wendy wendywhistles december  he s a fucking  year old  who knows rainyday december  so to all the people who voted for this a hole thinking he would change once he got into power you were wrong yearold men don t change and now he s a year olderphoto by andrew burtongetty images,News,2017-12-31,FAKE
 drunk bragging trump staffer started russian collusion investigation,house intelligence committee chairman devin nunes is going to have a bad day he s been under the assumption like many of us that the christopher steeledossier was what prompted the russia investigation so he s been lashing out at the department of justice and the fbi in order to protect trump as it happens the dossier is not what started the investigation according to documents obtained by the new york timesformer trump campaign adviser george papadopoulos was drunk in a wine bar when he revealed knowledge of russian opposition research on hillary clintonon top of that papadopoulos wasn t just a covfefe boy for trump as his administration has alleged he had a much larger role but none so damning as being a drunken fool in a wine bar coffee boys  don t help to arrange a new york meeting between trump and president abdel fattah elsisi of egypt two months before the election it was known before that the former aide set up meetings with world leaders for trump but team trump ran with him being merely a coffee boyin may  papadopoulos revealed to australian diplomat alexander downer that russian officials were shopping around possible dirt on thendemocratic presidential nominee hillary clinton exactly how much mr papadopoulos said that night at the kensington wine rooms with the australian alexander downer is unclear  the report states  but two months later when leaked democratic emails began appearing online australian officials passed the information about mr papadopoulos to their american counterparts according to four current and former american and foreign officials with direct knowledge of the australians  role papadopoulos pleaded guilty to lying to the fbi and is now a cooperating witness with special counsel robert mueller s teamthis isn t a presidency it s a badly scripted reality tv showphoto by win mcnameegetty images,News,2017-12-31,FAKE
 trump is so obsessed he even has obamas name coded into his website images,on christmas day donald trump announced that he would  be back to work  the following day but he is golfing for the fourth day in a row the former reality show star blasted former president barack obama for playing golf and now trump is on track to outpace the number of golf games his predecessor playedupdated my tracker of trump s appearances at trump properties rounds of golf including today s at this pace he ll pass obama s firstterm total by july  next year httpstcofgvacxrtj pictwittercomgemcjqtbh  philip bump pbump december   that makes what a washington post reporter discovered on trump s website really weird but everything about this administration is bizarre af the coding contained a reference to obama and golf  unlike obama we are working to fix the problem   and not on the golf course  however the coding wasn t done correctlythe website of donald trump who has spent several days in a row at the golf course is coded to serve up the following message in the event of an internal server error httpstcozrwpymxrcz pictwittercomwiqsqnnzw  christopher ingraham cingraham december  that snippet of code appears to be on all httpstcodkhwalhb pages which the footer says is paid for by the rnc pictwittercomoazdtb  christopher ingraham cingraham december  it s also all over httpstcoayblgmkz as others have noted in this thread this is weird code and it s not clear it would ever actually display but who knows  christopher ingraham cingraham december  after the coding was called out the reference to obama was deletedupdate the golf error message has been removed from the trump and gop websites they also fixed the javascript    vs    problem still not clear when these messages would actually display since the actual  and presumably  page displays a different message pictwittercomzdmyqsmy  christopher ingraham cingraham december  that suggests someone at either rnc or the trump admin is sensitive enough to trump s golf problem to make this issue go away quickly once people noticed you have no idea how much i d love to see the email exchange that led us here  christopher ingraham cingraham december   the code was fcked upthe best part about this is that they are using the    assignment operator which means that bit of code will never get run if you look a few lines up  errorcode  will always be            twtrsux december  trump s coders can t code nobody is surprised  tim peterson timrpeterson december  donald trump is obsessed with obama that his name was even in the coding of his website while he played golf againphoto by joe raedlegetty images,News,2017-12-29,FAKE
 pope francis just called out donald trump during his christmas speech,pope francis used his annual christmas day message to rebuke donald trump without even mentioning his name the pope delivered his message just days after members of the united nations condemned trump s move to recognize jerusalem as the capital of israel the pontiff prayed on monday for the  peaceful coexistence of two states within mutually agreed and internationally recognized borders we see jesus in the children of the middle east who continue to suffer because of growing tensions between israelis and palestinians  francis said  on this festive day let us ask the lord for peace for jerusalem and for all the holy land let us pray that the will to resume dialogue may prevail between the parties and that a negotiated solution can finally be reached the pope went on to plead for acceptance of refugees who have been forced from their homes and that is an issue trump continues to fight against francis used jesus for which there was  no place in the inn  as an analogy today as the winds of war are blowing in our world and an outdated model of development continues to produce human societal and environmental decline christmas invites us to focus on the sign of the child and to recognize him in the faces of little children especially those for whom like jesus  there is no place in the inn  he said jesus knows well the pain of not being welcomed and how hard it is not to have a place to lay one s head  he added  may our hearts not be closed as they were in the homes of bethlehem the pope said that mary and joseph were immigrants who struggled to find a safe place to stay in bethlehem they had to leave their people their home and their land  francis said  this was no comfortable or easy journey for a young couple about to have a child   at heart they were full of hope and expectation because of the child about to be born yet their steps were weighed down by the uncertainties and dangers that attend those who have to leave their home behind so many other footsteps are hidden in the footsteps of joseph and mary  francis said sunday we see the tracks of entire families forced to set out in our own day we see the tracks of millions of persons who do not choose to go away but driven from their land leave behind their dear ones amen to thatphoto by christopher furlonggetty images,News,2017-12-25,FAKE
 racist alabama cops brutalize black boy while he is in handcuffs graphic images,the number of cases of cops brutalizing and killing people of color seems to see no end now we have another case that needs to be shared far and wide an alabama woman by the name of angela williams shared a graphic photo of her son lying in a hospital bed with a beaten and fractured face on facebook it needs to be shared far and wide because this is unacceptableit is unclear why williams  son was in police custody or what sort of altercation resulted in his arrest but when you see the photo you will realize that these details matter not cops are not supposed to beat and brutalize those in their custody in the post you are about to see ms williams expresses her hope that the cops had their body cameras on while they were beating her son but i think we all know that there will be some kind of convenient  malfunction  to explain away the lack of existence of dash or body camera footage of what was clearly a brutal beating hell it could even be described as attempted murder something tells me that this young man will never be the same without further ado here is what troy alabama s finest decided was appropriate treatment of angela williams  sonno matter what the perceived crime of this young man might be this is completely unacceptable the cops who did this need to rot in jail for a long long time   but what you wanna bet they get a paid vacation while the force  investigates  itself only to have the officers returned to duty posthastethis folks is why we say black lives matter no way in hell would this have happened if angela williams  son had been white please share far and wide and stay tuned to addicting info for further updatesfeatured image via david mcnewstringergetty images,News,2017-12-25,FAKE
 fresh off the golf course trump lashes out at fbi deputy director and james comey,donald trump spent a good portion of his day at his golf club marking the th day he s done so since taking the oath of office it must have been a bad game because just after that trump lashed out at fbi deputy director andrew mccabe on twitter following a report saying mccabe plans to retire in a few months the report follows mccabe s testimony in front of congressional committees this week as well as mounting criticism from republicans regarding the russia probeso naturally trump attacked mccabe with a lie how can fbi deputy director andrew mccabe the man in charge along with leakin  james comey of the phony hillary clinton investigation including her  illegally deleted emails be given  for wife s campaign by clinton puppets during investigation  trump tweetedhow can fbi deputy director andrew mccabe the man in charge along with leakin  james comey of the phony hillary clinton investigation including her  illegally deleted emails be given  for wife s campaign by clinton puppets during investigation  donald j trump realdonaldtrump december  he didn t stop therefbi deputy director andrew mccabe is racing the clock to retire with full benefits  days to go  donald j trump realdonaldtrump december  wow  fbi lawyer james baker reassigned  according to foxnews  donald j trump realdonaldtrump december  with all of the intel at trump s disposal he s getting his information from fox news mccabe spent most of his career in the fight against terrorism and now he s being attacked by the socalled president trump has been factchecked before on his claim of his wife receiving  for her campaignpolitifact noted in late july that trump s  tweet about andrew mccabe is a significant distortion of the facts and the implication that mccabe got clinton off as a political favor doesn t make much sense when we look at the evidence his july tweet was rated  mostly false  but trump repeats these lies because he knows his supporters will believe them without bothering to google it s still a lie thoughphoto by zach gibson   poolgetty images,News,2017-12-23,FAKE
 trump said some insanely racist stuff inside the oval office and witnesses back it up,in the wake of yet another court decision that derailed donald trump s plan to bar muslims from entering the united states the new york times published a report on saturday morning detailing the president s frustration at not getting his way   and how far back that frustration goesaccording to the article back in june trump stomped into the oval office furious about the state of the travel ban which he thought would be implemented and fully in place by then instead he fumed visas had already been issued to immigrants at such a rate that his  friends were calling to say he looked like a fool  after making his broad pronouncementsit was then that trump began reading from a document that a top advisor noted white supremacist stephen miller had handed him just before the meeting with his cabinet the page listed how many visas had been issued this year and included  from afghanistan a country not on the travel ban  from haiti also not included and  from nigeria sensing a pattern yet and trump expressed his dismay at eachaccording to witnesses in the room who spoke to the times on condition of anonymity and who were interviewed along with three dozen others for the article trump called out each country for its faults as he read afghanistan was a  terrorist haven  the people of nigeria would  never go back to their huts once they saw the glory of america and immigrants from haiti  all have aids despite the extensive research done by the newspaper the white house of course denies that any such language was usedbut given trump s racist history and his advisor stephen miller s blatant white nationalism it would be no surprise if a freedom of information act request turned up that the document in question had the statements printed inline as commentary for the president to punctuate his anger with it was miller after all who was responsible for the  american carnage  speech that trump delivered at his inaugurationthis racist is a menace to america and he doesn t represent anything that this country stands for let s hope that more indictments from robert mueller are on their way as we speakfeatured image via chris kleponispoolgetty images,News,2017-12-23,FAKE
 former cia director slams trump over un bullying openly suggests hes acting like a dictator tweet,many people have raised the alarm regarding the fact that donald trump is dangerously close to becoming an autocrat the thing is democracies become autocracies right under the people s noses because they can often look like democracies in the beginning phases this was explained by republican david frum just a couple of months into donald trump s presidency in a piece in the atlantic called  how to build an autocracy in fact if you really look critically at what is happening right now   the systematic discrediting of vital institutions such as the free press and the federal bureau of investigation as well the direct weaponization of the department of justice in order to go after trump s former political opponent  democratic nominee hillary clinton and you have the makings of an autocracy we are more than well on our way further one chamber of congress the house of representatives already has a rogue band of republicans who are running a parallel investigation to the official russian collusion investigation with the explicit intent of undermining and discrediting the idea that trump could have possibly done anything wrong with the russians in order to swing the  election in his favorall of that is just for starters too now we have trump making united nations ambassador nikki haley bully and threaten other countries in the united nations who voted against trump s decision to change us policy when it comes to recognition of jerusalem as the capital of the jewish state well one expert who is usually quite measured has had enough of trump s autocratic antics former cia director john o brennan the seasoned spy took to trump s favorite platform twitter and blasted the decisiontrump admin threat to retaliate against nations that exercise sovereign right in un to oppose us position on jerusalem is beyond outrageous shows realdonaldtrump expects blind loyalty and subservience from everyone qualities usually found in narcissistic vengeful autocrats  john o brennan johnbrennan december  director brennan is correct of course trump is behaving just like an autocrat and so many people in the nation are asleep when it comes to this dangerous age in which the greatest threat to democracy and the very fabric of the republic itself is the american president fellow americans we know the gopled congress will not be the check on trump that they are supposed to be it s time to get out and flip the house and possibly the senate in  and resist in the meantime if we want to save our country from devolving into something that looks more like russia or north korea than the america we have always know we re already well on our wayfeatured image via brendan smialowskiafpgetty images,News,2017-12-22,FAKE
 watch brandnew protrump ad features so much a kissing it will make you sick,just when you might have thought we d get a break from watching people kiss donald trump s ass and stroke his ego ad nauseam a protrump group creates an ad that s nothing but people doing even more of those exact things america first policies is set to release this ad called  thank you president trump  on christmas day and well we threw up a little in our mouths trying to watch thisbasically the spot is nothing but people fawning all over trump for all the stuff he hasn t actually done the ad includes a scene with a little girl thanking trump for bringing back  merry christmas  which never went away there are even videos of president obama saying  merry christmas  himself a man thanks him for cutting his taxes and america first says that everyday americans everywhere are thanking trump for being such a great and awesome presidentthe best presidentnobody s ever done what he s done he s breaking all kinds of records every daybelieve usanyway the word  propaganda  comes to mind when watching this that s what it is   literal propaganda promoting someone who shouldn t need this kind of promotion anymore watch this ad bullshit belowthe way the magas are kowtowing to orange hitler is both disgusting and frightening the man has done nothing and his policies will harm the very same americans who are thanking him unfortunately it will take an obscene amount of pain before they ll open their eyes and see they ve been duped by a con man with a bad hairdoand his ongoing need for this kind of adoration is at best unbecoming of his office this ad is vilefeatured image via al dragopoolgetty images,News,2017-12-21,FAKE
,a centerpiece of donald trump s campaign and now his presidency has been his white supremacist ways that is why so many of the public feuds he gets into involve people of color one of his favorite targets is of course the players in the national football league who dare to exercise their first amendment rights by kneeling during the national anthem in protest of racist police brutality well there is one person who has figured out that racism is bad for business even if it did get the orange overlord elected the founder of the pizza chain papa john sthis is a man who has never been on the right side of history on any number of issues and plus his pizza sucks but when he decided to complain about the players protesting his sales really dropped turns out racism doesn t pay and we all know that corporations are all about the bottom line therefore papa john schnatter will no longer be ceo of the hack pizza chainbreaking papa johns founder john schnatter to step down as ceo announcement comes weeks after he criticized nfl over protests  ap business news apbusiness december  the thing is while people are certainly allowed to have political opinions they have to realize that those opinions can often come with dire consequences   especially if one is in the business of trying to garner sales and support from any and all people which one would presume is the goal of all ceo s no one knows whether or not the pressure from his shareholders the public outcry or boycotts or even the nfl itself had anything to do with his stepping down as of right now all we know is that he will be gone and perhaps the future ceo will run a company that is inclusive of the diverse fabric that we call america after all the guiding symbol of this nation will always be the statue of liberty and bigots like trump and schnatter are the past the rest of us are the future we just have to survive the present to get therefeatured image via rob kimgetty images,News,2017-12-21,FAKE
